ID,Name,Concepticon_ID,Concepticon_Gloss
18-280,name,1405,
18-310,"ask (question, inquire)",1309,
18-320,answer,1275,
18-330,"admit, confess",2022,
18-340,deny,755,
18-350,"ask, request",1828,
18-360,promise,1675,
18-370,refuse,49,
18-380,forbid,83,
18-390,"rebuke, scold",299,
18-410,call (=summon),1084,
18-420,call (=name),180,
18-430,announce,9,
18-440,threaten,1192,
18-450,boast,101,
18-510,write,1672,
18-520,read,724,
18-560,paper,648,
18-570,pen,794,
18-610,book,963,
18-670,poet,1045,
18-710,flute,777,
18-720,drum,908,
18-730,"horn, trumpet",2136,
18-740,rattle,300,
19-110,country,1300,
19-120,one's native country,89,
19-150,"city, town",1391,
19-160,village,930,
19-170,boundary,1010,
19-210,people (populace),789,
19-230,"tribe, clan",302,
19-240,"chief, chieftain",301,
19-250,"staff, walking stick",1296,
19-310,"rule, govern",1846,
19-320,"king, ruler",1508,
19-330,queen,1306,
19-360,"noble, nobleman",482,
19-370,"citizen, subject",1032,
19-410,master,383,
19-420,slave,812,
19-430,servant,255,
19-440,freeman,384,
19-450,"command, order",1128,
19-460,obey,1635,
19-470,"let, permit",1003,
19-510,"friend, companion",1325,
19-520,enemy,1358,
19-540,neighbor,1332,
19-550,stranger,791,
19-560,guest,1782,
19-570,host,1545,
19-580,"help, aid",1897,
19-590,"hinder, prevent",1550,
19-610,custom,1747,
19-620,"strife, quarrel",1848,
19-630,"conspiracy, plot",2024,
19-650,meet,1831,
19-720,prostitute,1610,
20-110,fight (vb),1423,
20-130,"war, battle",579,
20-140,peace,1338,
20-150,army,1561,
20-170,soldier,1941,
20-210,"weapons, arms",951,
20-220,club,1763,
20-222,battle-ax,386,
20-230,sling,387,
20-240,bow,994,
20-250,arrow,977,
20-260,spear,945,
20-270,sword,1535,
20-280,"gun, cannon",1566,
20-310,armor (defensive),1061,
20-330,helmet,1680,
20-340,shield,1064,
20-350,fortress,1938,
20-360,tower,1671,
20-410,victory,783,
20-420,defeat,782,
20-430,attack,722,
20-440,defend,1330,
20-450,retreat,421,
20-460,surrender,1696,
20-470,"captive, prisoner",1072,
20-471,"guard, sentinel",1940,
20-480,"booty, spoils",1022,
20-490,ambush,65,
20-510,fisherman,1858,
20-520,fishhook,1074,
20-530,fishing line,19,
20-540,fishnet,388,
20-550,fish trap,389,
20-560,bait,2013,
20-610,hunt,1435,
20-620,shoot,1172,
20-630,miss (target),161,
20-640,trap (noun),1075,
20-650,trap (vb),1170,
21-110,law,1062,
21-150,court,1068,
21-160,judge (vb),1818,
21-170,judgment,1067,
21-180,judge (noun),861,
21-210,plaintiff,2020,
21-220,defendant,1034,
21-230,witness,1144,
21-240,swear,1939,
21-250,oath,1712,
21-310,accuse,1814,
21-320,condemn,484,
21-330,convict (vb),983,
21-340,acquit,988,
21-350,guilty,1682,
21-360,innocent,90,
21-370,"penalty, punishment",390,
21-380,fine,218,
21-390,"prison, jail",1281,
21-420,murder,845,
21-430,adultery,902,
21-440,rape,953,
21-460,arson,1889,
21-470,perjury,1792,
21-510,steal,713,
21-520,thief,1160,
22-110,religion,661,
22-120,God,1944,
22-130,"temple, church",911,
22-140,altar,853,
22-150,"sacrifice, offering",1103,
22-160,worship,257,
22-170,pray,24,
22-180,priest,852,
22-190,"holy, sacred",1702,
22-220,preach,304,
22-230,bless,391,
22-240,curse,8,
22-260,fast (vb),303,
22-310,heaven,1565,
22-320,hell,878,
22-350,demon (evil spirit),1973,
22-370,idol,1945,
22-420,"magic, witchcraft, sorcery",392,
22-430,"sorcerer, witch",2137,
22-440,"fairy, elf",2138,
22-450,"ghost, phantom",1175,
22-470,"omen, portent",107,
